Metric,Value
Average Potions Used,5060.33
Minimum Potions Used,4830
Maximum Potions Used,5311

Potion Type,Average,Minimum,Maximum
AAA,120.36,72,174
MMM,182.76,117,245
LLL,192.30,136,251
MMA,676.22,562,809
MML,676.29,556,794
AAM,676.29,560,807
ALA,676.25,559,788
MLL,676.20,571,773
ALL,676.44,591,776
MAL,507.22,438,589

Target Resource,Average,"Minimum (MOX,AGA,LYE)","Maximum (MOX,AGA,LYE)"
MOX,70441.54,"65268.0,66838.0,70504.0","76816.0,72540.0,70538.0"
AGA,69004.25,"69300.0,64064.0,70558.0","73244.0,74954.0,70504.0"
LYE,70521.83,"72172.0,71176.0,70500.0","72222.0,71088.0,70582.0"
