Metric,Value
Average Potions Used,4678.46
Minimum Potions Used,4471
Maximum Potions Used,4952

Potion Type,Average,Minimum,Maximum
AAA,204.83,146,276
MMM,225.23,167,282
LLL,630.46,525,749
MMA,577.78,494,676
MML,577.68,487,676
AAM,414.01,321,502
ALA,459.81,350,565
MLL,577.68,478,680
ALL,577.71,479,690
MAL,433.26,363,505

Target Resource,Average,"Minimum (MOX,AGA,LYE)","Maximum (MOX,AGA,LYE)"
MOX,61077.72,"61050.0,54836.0,73460.0","63566.0,56124.0,70502.0"
AGA,56020.13,"61334.0,52550.0,73562.0","61068.0,60832.0,77802.0"
LYE,73713.06,"61484.0,56202.0,70500.0","61076.0,58184.0,80338.0"
