Metric,Value
Average Potions Used,4851.29
Minimum Potions Used,4654
Maximum Potions Used,5068

Potion Type,Average,Minimum,Maximum
AAA,127.27,77,183
MMM,193.08,135,257
LLL,203.23,144,265
MMA,714.35,591,864
MML,714.32,604,841
AAM,447.00,339,551
ALA,495.72,403,600
MLL,714.28,618,825
ALL,706.22,608,814
MAL,535.81,442,625

Target Resource,Average,"Minimum (MOX,AGA,LYE)","Maximum (MOX,AGA,LYE)"
MOX,70181.16,"64318.0,56726.0,70514.0","75722.0,63900.0,70506.0"
AGA,60337.51,"67120.0,55678.0,70500.0","73002.0,65002.0,70500.0"
LYE,70521.87,"70254.0,61076.0,70500.0","71252.0,60270.0,70582.0"
