episode,potions_used,moving_avg_potions_used,min_potions_used_so_far,unique_combos_used
1,6174,6174,6174,262
2,7279,6726.5,6174,163
3,6863,6772,6174,166
4,6845,6790.25,6174,156
5,6813,6794.8,6174,176
6,6865,6806.5,6174,171
7,6955,6827.714285714285,6174,180
8,6628,6802.75,6174,171
9,6823,6805,6174,173
10,6580,6782.5,6174,171
11,6829,6786.727272727273,6174,170
12,6844,6791.5,6174,173
13,6824,6794,6174,162
14,6834,6796.857142857143,6174,170
15,6681,6789.133333333333,6174,184
16,6848,6792.8125,6174,169
17,6787,6792.470588235294,6174,167
18,6773,6791.388888888889,6174,161
19,6761,6789.789473684211,6174,163
20,6752,6787.9,6174,180
21,6811,6789,6174,164
22,6827,6790.727272727273,6174,166
23,6829,6792.391304347826,6174,170
24,6850,6794.791666666667,6174,174
25,6721,6791.84,6174,177
26,6648,6786.307692307692,6174,177
27,6684,6782.518518518518,6174,176
28,6793,6782.892857142857,6174,176
29,6810,6783.827586206897,6174,159
30,6753,6782.8,6174,153
31,6708,6780.387096774193,6174,161
32,6725,6778.65625,6174,164
33,6770,6778.393939393939,6174,167
34,6677,6775.411764705882,6174,165
35,6732,6774.171428571429,6174,152
36,6867,6776.75,6174,163
37,6724,6775.324324324324,6174,176
38,6885,6778.210526315789,6174,159
39,6727,6776.897435897436,6174,160
40,6793,6777.3,6174,145
41,6797,6777.780487804878,6174,157
42,6948,6781.833333333333,6174,155
43,6782,6781.837209302325,6174,153
44,6632,6778.431818181818,6174,159
45,6638,6775.311111111111,6174,160
46,6751,6774.782608695652,6174,162
47,6851,6776.404255319149,6174,172
48,6676,6774.3125,6174,165
49,6888,6776.632653061224,6174,166
50,6759,6776.28,6174,166
51,6785,6788.5,6174,162
52,6832,6779.56,6174,178
53,6746,6777.22,6174,172
54,6725,6774.82,6174,149
55,6899,6776.54,6174,176
56,6714,6773.52,6174,172
57,6741,6769.24,6174,160
58,6807,6772.82,6174,162
59,6844,6773.24,6174,160
60,6801,6777.66,6174,173
61,6739,6775.86,6174,160
62,6667,6772.32,6174,171
63,6728,6770.4,6174,162
64,6815,6770.02,6174,167
65,6851,6773.42,6174,164
66,6628,6769.02,6174,165
67,6760,6768.48,6174,171
68,6746,6767.94,6174,153
69,6782,6768.36,6174,155
70,6758,6768.48,6174,167
71,6962,6771.5,6174,158
72,6687,6768.7,6174,164
73,6728,6766.68,6174,168
74,6853,6766.74,6174,152
75,6722,6766.76,6174,172
76,6726,6768.32,6174,166
77,6860,6771.84,6174,167
78,6658,6769.14,6174,174
79,6813,6769.2,6174,151
80,6696,6768.06,6174,145
81,6766,6769.22,6174,159
82,6804,6770.8,6174,165
83,6802,6771.44,6174,164
84,6537,6768.64,6174,151
85,6645,6766.9,6174,158
86,6618,6761.92,6174,161
87,6980,6767.04,6174,156
88,6847,6766.28,6174,160
89,6816,6768.06,6174,156
90,6791,6768.02,6174,163
91,6783,6767.74,6174,155
92,6699,6762.76,6174,162
93,6697,6761.06,6174,152
94,6802,6764.46,6174,160
95,6865,6769,6174,169
96,6778,6769.54,6174,157
97,6614,6764.8,6174,167
98,6930,6769.88,6174,164
99,6826,6768.64,6174,167
100,6693,6767.32,6174,168
101,6725,6766.12,6174,157
102,6737,6764.22,6174,161
103,6756,6764.42,6174,162
104,6806,6766.04,6174,151
105,6782,6763.7,6174,164
106,6690,6763.22,6174,168
107,6759,6763.58,6174,159
108,6587,6759.18,6174,156
109,6672,6755.74,6174,166
110,6851,6756.74,6174,162
111,6718,6756.32,6174,156
112,6769,6758.36,6174,160
113,6798,6759.76,6174,162
114,6686,6757.18,6174,174
115,6848,6757.12,6174,151
116,6737,6759.3,6174,164
117,6808,6760.26,6174,167
118,6749,6760.32,6174,156
119,6565,6755.98,6174,168
120,6749,6755.8,6174,167
121,6748,6751.52,6174,156
122,6860,6754.98,6174,166
123,6609,6752.6,6174,154
124,6842,6752.38,6174,154
125,6756,6753.06,6174,166
126,6858,6755.7,6174,151
127,6696,6752.42,6174,156
128,6679,6752.84,6174,164
129,6807,6752.72,6174,154
130,6716,6753.12,6174,155
131,6711,6752.02,6174,156
132,6933,6754.6,6174,142
133,6829,6755.14,6174,162
134,6649,6757.38,6174,158
135,6606,6756.6,6174,150
136,6714,6758.52,6174,153
137,6824,6755.4,6174,149
138,6801,6754.48,6174,158
139,6711,6752.38,6174,175
140,6767,6751.9,6174,156
141,6825,6752.74,6174,162
142,6907,6756.9,6174,155
143,6749,6757.94,6174,148
144,6792,6757.74,6174,167
145,6844,6757.32,6174,162
146,6815,6758.06,6174,163
147,6663,6759.04,6174,153
148,6596,6752.36,6174,159
149,6941,6754.66,6174,152
150,6862,6758.04,6174,168
151,6708,6757.7,6174,160
152,6620,6755.36,6174,158
153,6755,6755.34,6174,168
154,6822,6755.66,6174,164
155,6601,6752.04,6174,159
156,6717,6752.58,6174,156
157,6694,6751.28,6174,155
158,6792,6755.38,6174,159
159,6695,6755.84,6174,149
160,6827,6755.36,6174,152
161,6774,6756.48,6174,163
162,6758,6756.26,6174,137
163,6630,6752.9,6174,153
164,6880,6756.78,6174,163
165,6800,6755.82,6174,162
166,6734,6755.76,6174,169
167,6452,6748.64,6174,151
168,6585,6745.36,6174,152
169,6819,6750.44,6174,152
170,6659,6748.64,6174,168
171,6819,6750.06,6174,147
172,6826,6749.38,6174,169
173,6749,6752.18,6174,159
174,6766,6750.66,6174,145
175,6743,6750.4,6174,155
176,6729,6747.82,6174,160
177,6898,6751.86,6174,158
178,6487,6748.02,6174,156
179,6620,6744.28,6174,161
180,6642,6742.8,6174,156
181,6837,6745.32,6174,163
182,6647,6739.6,6174,154
183,6848,6739.98,6174,159
184,6693,6740.86,6174,158
185,6786,6744.46,6174,154
186,6629,6742.76,6174,158
187,6767,6741.62,6174,153
188,6735,6740.3,6174,152
