Metric,Value
Average Potions Used,4719.60
Minimum Potions Used,4508
Maximum Potions Used,5006

Potion Type,Average,Minimum,Maximum
AAA,220.17,160,292
MMM,267.29,203,331
LLL,636.99,523,763
MMA,583.76,493,684
MML,583.61,487,681
AAM,316.75,249,391
ALA,505.97,410,614
MLL,583.67,482,693
ALL,583.72,465,708
MAL,437.68,365,524

Target Resource,Average,"Minimum (MOX,AGA,LYE)","Maximum (MOX,AGA,LYE)"
MOX,61103.34,"61050.0,56254.0,74796.0","64398.0,52592.0,77492.0"
AGA,54341.31,"61382.0,52550.0,72608.0","61086.0,59178.0,79718.0"
LYE,74914.81,"61078.0,52552.0,70502.0","61104.0,55730.0,80930.0"
